FEATURE,no,METHOD,FULL URL,AUTH REQUIRED,ROLE,REQUEST HEADERS,REQUEST BODY / PARAMS,CONTENT TYPE,SUCCESS STATUS,SUCCESS RESPONSE SHAPE,ERROR CODES,DESCRIPTION,NOTES
HEALTH CHECK,1,GET,/api/health,No,Public,—,—,—,200,"{ success: true, data: { status: 'ok' } }",500,Server health check,Used by load balancers / uptime monitors
ADMIN,2,GET,/api/admin/admin,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,—,—,200,Placeholder admin response — not yet implemented,401 / 403 / 500,Admin-only protected route placeholder,Returns empty 200 until admin operations are fully defined
WEBHOOKS,3,POST,/api/webhooks,No (Svix signature),Internal (Clerk),svix-id / svix-timestamp / svix-signature,Raw JSON body from Clerk,application/json,200 / 201,Varies by event type (see Notes),400 / 404 / 500,Receives Clerk lifecycle events and syncs the local database,"Handles: user.created (Admin or invited User), user.updated (name/email sync), user.deleted (cascading delete). Verified via Svix signature — do NOT call manually."
USER MANAGEMENT,4,POST,/api/user/create,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,"Body: { name: string, email: string (required), phone?: string }",application/json,201,"{ message: 'Invitation sent successfully via Clerk email', invitation: <ClerkInvitation> }",400 (missing email) / 401 / 403 / 404 (admin not found) / 409 (user exists) / 500,Admin creates a new village-user by sending a Clerk invitation email,The invited user receives an email with a redirect link. On acceptance the Clerk webhook (user.created) automatically creates the User record in PostgreSQL.
FILE MANAGEMENT — UPLOAD,5,POST,/api/files/create,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,Form field `file` — binary file attachment,multipart/form-data,201,"{ success: true, message: 'File uploaded successfully', data: { id, originalName, fileName, mimeType, size, storageKey, status, isArchived, uploadedById, createdAt, updatedAt } }",400 (no file / bad MIME / >20 MB) / 401 / 403 / 404 (admin user not found) / 500,Upload a land-record document to AWS S3,"Allowed MIME: application/pdf, image/jpeg, image/png, image/webp, image/tiff. Max 20 MB. storageKey = land-records/<timestamp>-<random>-<originalname>. S3 URL is not stored in the database. New files start with status `UPLOADED` and `isArchived = false`."
FILE MANAGEMENT — LIST ACTIVE FILES,6,GET,/api/files,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,—,—,200,"{ success: true, message: 'Files fetched successfully', data: [ { id, originalName, fileName, mimeType, size, storageKey, status, isArchived, uploadedById, createdAt, updatedAt, uploadedBy: { id, name, email }, assignments: [ ... ] } ] }",401 / 403 / 500,Retrieve all active files with uploader and assignment details,Only files where `isArchived = false` are returned. Results are ordered by `createdAt` descending (newest first).
FILE MANAGEMENT — LIST ARCHIVED FILES,7,GET,/api/files/archived,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,—,—,200,"{ success: true, message: 'Archived files fetched successfully', data: [ { id, originalName, fileName, mimeType, size, storageKey, status, isArchived, uploadedById, archivedAt, archivedById, createdAt, updatedAt, uploadedBy: { id, name, email } } ] }",401 / 403 / 500,Retrieve files that have been archived by the authenticated Admin,Only files where `isArchived = true` are returned. Archived files remain in AWS S3 and PostgreSQL.
FILE MANAGEMENT — GET ONE,8,GET,/api/files/:id,Yes,Any (authenticated),Authorization: Bearer <clerk-session-token>,URL param: `id` (integer),—,200,"{ success: true, message: 'File fetched successfully', data: { id, originalName, fileName, mimeType, size, storageKey, status, isArchived, uploadedById, archivedAt, archivedById, createdAt, updatedAt, uploadedBy: { id, name, email }, assignments: [ ... ] } }",400 (non-numeric id) / 401 / 403 / 404 / 410 / 500,Get a single file record by database ID,"ADMIN can inspect files they manage, including archived files. USER access requires an assignment and archived files are not available to normal users."
FILE MANAGEMENT — UPDATE METADATA,9,PATCH,/api/files/:id,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,URL param: `id` (integer). Body: { originalName?: string },application/json,200,"{ success: true, message: 'File updated successfully', data: { id, originalName, ... } }",400 (non-numeric id / invalid body) / 401 / 403 / 404 / 410 / 500,Update file metadata such as the display filename,"Only `originalName` is updated. Archived files cannot be updated. The actual S3 object, storageKey, fileName, mimeType, size, and FilePage processing results are not replaced."
FILE MANAGEMENT — ARCHIVE,10,PATCH,/api/files/:id/archive,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,URL param: `id` (integer),—,200,"{ success: true, message: 'File archived successfully', data: { id, isArchived: true, archivedAt, archivedById, ... } }",400 (non-numeric id) / 401 / 403 / 404 / 409 / 500,Archive an official file without permanently deleting it,"The S3 object and PostgreSQL File record are preserved. `isArchived` becomes `true`, `archivedAt` is set, and `archivedById` records the Admin who performed the archive. An already archived file cannot be archived again."
FILE MANAGEMENT — RESTORE,11,PATCH,/api/files/:id/restore,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,URL param: `id` (integer),—,200,"{ success: true, message: 'File restored successfully', data: { id, isArchived: false, archivedAt: null, archivedById: null, ... } }",400 (non-numeric id) / 401 / 403 / 404 / 409 / 500,Restore an archived file,"The existing S3 object and database record are reused. `isArchived` becomes `false`, and archive metadata is cleared. An active file cannot be restored."
FILE MANAGEMENT — DOWNLOAD,12,GET,/api/files/:id/download,Yes,Any (authenticated),Authorization: Bearer <clerk-session-token>,URL param: `id` (integer),—,200,"{ success: true, message: 'Download URL generated successfully', data: { url: '<presigned-AWS-S3-url>', expiresIn: 300 } }",400 (non-numeric id) / 401 / 403 (not assigned or archived USER) / 404 / 500,Generate a short-lived presigned download URL for the file,"ADMIN: allowed for files they manage, including archived files. USER: only if assigned and the file is active. URL expires in 300 seconds (5 minutes). S3 bucket remains private."
FILE MANAGEMENT — ASSIGN,13,POST,/api/files/:id/assign,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,URL param: `id` (integer). Body: { userId: number },application/json,201,"{ success: true, message: 'File assigned successfully', data: { id, fileId, userId, assignedBy, createdAt, user: { id, name, email }, assigner: { id, name } } }",400 (non-numeric id / missing userId) / 401 / 403 / 404 (file or user not found) / 409 (already assigned or archived file) / 500,Assign an active file to a specific user,"The authenticated Admin must own/manage the file and the target user must belong to that Admin. Archived files cannot be assigned. Duplicate `(fileId, userId)` assignments return 409."
FILE MANAGEMENT — REMOVE ASSIGNMENT,14,DELETE,/api/files/:id/assign/:userId,Yes,ADMIN,Authorization: Bearer <clerk-session-token>,"URL params: `id` (integer), `userId` (integer)",—,200,"{ success: true, message: 'File assignment removed successfully' }",400 (non-numeric id or userId) / 401 / 403 / 404 (assignment not found) / 500,Remove an existing file-to-user assignment,"This deletes only the `FileAssignment` relationship. It does not delete, archive, or modify the official file or its S3 object."
FILE MANAGEMENT — GET ASSIGNMENTS,15,GET,/api/files/:id/assignments,Yes,Any (authenticated),Authorization: Bearer <clerk-session-token>,URL param: `id` (integer),—,200,"{ success: true, message: 'File assignments fetched successfully', data: [ { id, fileId, userId, assignedBy, createdAt, user: { id, clerkUserId, name, email }, assigner: { id, name } } ] }",400 (non-numeric id) / 401 / 403 / 404 / 500,List assignments for a given file,ADMIN: sees all assignment rows for files they manage. USER: sees only their own assignment row. Results are ordered by `createdAt` descending.
FILE MANAGEMENT — USER FILES,16,GET,/api/files/user/:userId,Yes,Any (authenticated),Authorization: Bearer <clerk-session-token>,URL param: `userId` (integer),—,200,"{ success: true, message: 'User files fetched successfully', data: [ { id, fileId, userId, assignedBy, createdAt, file: { id, originalName, fileName, mimeType, size, storageKey, status, isArchived, createdAt, updatedAt, uploadedBy: { id, name, email } } } ] }",400 (non-numeric userId) / 401 / 403 (USER accessing another user's files) / 404 (user not found) / 500,List active files assigned to a specific user,ADMIN: can query any userId. USER: may only query their own userId. Archived files are excluded. Results are ordered by assignment `createdAt` descending. The `/user/:userId` route must be registered before `/:id`.
